Timestamp,Enter a noun.,Enter a noun.,Enter a noun.,Enter a verb.,Enter a verb.,Enter a verb.,Enter an adjective.,Enter an adjective.,Enter an adjective.,Enter an adverb.,Enter an adverb.,Enter an adverb.
7/8/2015 10:18:35,cat,cupid,puppy,runs,kills,murders,stupid,clever,annoying,swiftly,quickly,sadly
7/8/2015 10:27:48,train,tree,building,run,swim,climb,gigantic,swift,tiny,bombastic,wrinkled ,smooth
7/8/2015 10:29:46,Topher,Josh,Stanley,saunters,travels,drives,ghetto,stupid,swell,intelligently,mightily,magically
7/8/2015 10:30:05,Paris,London,mouse,run,play,jog,smart,delicious,cold,very ,quickly,easily
7/8/2015 10:31:48,whiteboard,potato,Jackie Chan,combusts,combobulates,destroys,destructive,moist,drunk,swimmingly,curiously,hithero
7/8/2015 10:32:47,laptop,quail,monkey,jumps,swims,flies,red,translucent,miniature,rapidly,slowly,quickly
7/8/2015 10:39:17,Cheese,Mouth,Person,running,spitting,licking,blue,shiny,gorey,mooed,booed,yelled
